YEAR,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
1980,Male,White,18 to 19,Lake County,2,22,5,0,6,35,100,0
1980,Male,White,20 to 29,Lake County,15,58,14,1,17,105,312,0
1980,Male,White,30 to 39,Lake County,20,16,5,4,5,50,192,0
1980,Male,White,40 to 69,Lake County,9,10,0,0,0,19,247,0
1980,Male,White,70 and over,Lake County,1,0,0,0,0,1,6,0
1980,Female,Black,20 to 29,Lake County,0,0,0,0,0,0,1,0
1980,Female,Black,40 to 69,Lake County,1,0,0,0,0,1,3,0
1980,Female,Hispanic,20 to 29,Lake County,0,0,0,0,0,0,1,0
1980,Female,Hispanic,30 to 39,Lake County,0,0,0,0,0,0,1,0
1980,Female,Hispanic,40 to 69,Lake County,0,0,0,0,0,0,2,0
1980,Female,Other,Under 18,Lake County,0,0,0,0,0,0,1,0
1980,Female,Other,18 to 19,Lake County,0,0,0,0,0,0,4,0
1980,Female,Other,20 to 29,Lake County,1,0,0,0,0,1,6,0
1980,Female,Other,30 to 39,Lake County,0,3,0,0,0,3,2,0
1980,Female,Other,40 to 69,Lake County,0,0,0,0,0,0,1,0
1980,Female,White,Under 18,Lake County,0,4,0,0,0,4,21,5
1980,Female,White,18 to 19,Lake County,0,2,0,0,0,2,7,0
1980,Female,White,20 to 29,Lake County,3,5,5,0,1,14,40,0
1980,Female,White,30 to 39,Lake County,0,3,4,0,0,7,26,0
1980,Female,White,40 to 69,Lake County,1,2,1,0,0,4,48,0
1980,Female,White,70 and over,Lake County,0,0,0,0,0,0,4,0
1980,Male,Black,Under 18,Lassen County,0,1,0,0,0,1,2,0
1980,Male,Black,18 to 19,Lassen County,0,1,0,0,0,1,0,0
1980,Male,Black,20 to 29,Lassen County,0,2,0,0,1,3,3,0
1980,Male,Black,70 and over,Lassen County,0,0,0,0,0,0,1,0
1980,Male,Hispanic,Under 18,Lassen County,0,1,0,0,0,1,0,0
1980,Male,Hispanic,18 to 19,Lassen County,0,0,0,0,0,0,3,0
1980,Male,Hispanic,20 to 29,Lassen County,3,0,0,0,1,4,3,0
1980,Male,Hispanic,30 to 39,Lassen County,2,0,0,0,0,2,7,0
1980,Male,Hispanic,40 to 69,Lassen County,0,0,0,0,0,0,1,0
1980,Male,Other,Under 18,Lassen County,0,0,0,0,0,0,9,0
1980,Male,Other,18 to 19,Lassen County,2,1,0,0,0,3,15,0
1980,Male,Other,20 to 29,Lassen County,5,0,0,0,2,7,42,0
1980,Male,Other,30 to 39,Lassen County,1,0,0,0,0,1,9,0
1980,Male,Other,40 to 69,Lassen County,0,1,0,0,0,1,20,0
1980,Male,White,Under 18,Lassen County,1,39,1,1,3,45,78,3
1980,Male,White,18 to 19,Lassen County,7,21,1,0,4,33,76,0
1980,Male,White,20 to 29,Lassen County,12,11,10,0,7,40,229,0
1980,Male,White,30 to 39,Lassen County,5,5,2,0,4,16,97,0
1980,Male,White,40 to 69,Lassen County,4,2,1,2,4,13,57,0
1980,Male,White,70 and over,Lassen County,0,0,0,0,0,0,2,0
1980,Female,Black,18 to 19,Lassen County,0,1,0,0,0,1,0,0
1980,Female,Black,20 to 29,Lassen County,0,0,1,0,3,4,0,0
1980,Female,Black,30 to 39,Lassen County,0,0,0,0,0,0,1,0
1980,Female,Black,40 to 69,Lassen County,0,0,0,0,1,1,0,0
1980,Female,Other,Under 18,Lassen County,0,0,0,0,0,0,5,0
1980,Female,Other,18 to 19,Lassen County,0,0,0,0,0,0,0,0
1980,Female,Other,20 to 29,Lassen County,0,0,0,0,0,0,4,0
1980,Female,Other,40 to 69,Lassen County,0,0,0,0,0,0,3,0
1980,Female,White,Under 18,Lassen County,0,7,0,0,2,9,22,6
1980,Female,White,18 to 19,Lassen County,3,0,0,0,1,4,5,0
1980,Female,White,20 to 29,Lassen County,4,4,1,0,3,12,33,0
1980,Female,White,30 to 39,Lassen County,2,0,0,0,0,2,10,0
1980,Female,White,40 to 69,Lassen County,0,0,0,0,0,0,10,0
1980,Female,White,70 and over,Lassen County,0,0,0,0,0,0,1,0
1980,Male,Black,Under 18,Los Angeles County,4180,7672,862,85,716,13515,5696,618
1980,Male,Black,18 to 19,Los Angeles County,2027,3276,1115,25,363,6806,3695,0
1980,Male,Black,20 to 29,Los Angeles County,5892,8465,5905,120,1436,21818,21747,0
1980,Male,Black,30 to 39,Los Angeles County,2145,2565,1844,100,728,7382,12748,0
1980,Male,Black,40 to 69,Los Angeles County,1135,1040,781,67,750,3773,11754,0
1980,Male,Black,70 and over,Los Angeles County,30,7,5,1,18,61,285,0
1980,Male,Hispanic,Under 18,Los Angeles County,2250,6497,737,53,895,10432,9636,1245
1980,Male,Hispanic,18 to 19,Los Angeles County,1846,3189,820,24,649,6528,9901,0
1980,Male,Hispanic,20 to 29,Los Angeles County,5159,7153,2705,106,1847,16970,47524,0
1980,Male,Hispanic,30 to 39,Los Angeles County,1343,1581,684,85,536,4229,19051,0
1980,Male,Hispanic,40 to 69,Los Angeles County,576,608,293,53,263,1793,13291,0
1980,Male,Hispanic,70 and over,Los Angeles County,7,5,1,3,5,21,191,0
1980,Male,Other,Under 18,Los Angeles County,131,436,45,3,68,683,558,65
1980,Male,Other,18 to 19,Los Angeles County,71,149,32,0,46,298,469,0
1980,Male,Other,20 to 29,Los Angeles County,244,291,127,3,108,773,2700,0
1980,Male,Other,30 to 39,Los Angeles County,131,78,39,10,39,297,2021,0
1980,Male,Other,40 to 69,Los Angeles County,60,48,13,4,25,150,1539,0
1980,Male,Other,70 and over,Los Angeles County,3,2,3,1,1,10,36,0
1980,Male,White,Under 18,Los Angeles County,1112,7366,1331,53,650,10512,10615,1301
1980,Male,White,18 to 19,Los Angeles County,710,2754,1250,15,540,5269,11170,0
1980,Male,White,20 to 29,Los Angeles County,2979,5636,4202,109,1713,14639,43129,0
1980,Male,White,30 to 39,Los Angeles County,1382,1755,1310,133,728,5308,21335,0
1980,Male,White,40 to 69,Los Angeles County,791,954,452,138,620,2955,22875,0
1980,Male,White,70 and over,Los Angeles County,20,12,5,2,15,54,545,0
1980,Female,Black,Under 18,Los Angeles County,450,692,111,4,55,1312,1559,297
1980,Female,Black,18 to 19,Los Angeles County,187,377,154,0,35,753,1147,0
1980,Female,Black,20 to 29,Los Angeles County,762,1451,837,6,232,3288,5513,0
1980,Female,Black,30 to 39,Los Angeles County,334,443,278,1,115,1171,1664,0
1980,Female,Black,40 to 69,Los Angeles County,161,119,125,1,108,514,922,0
1980,Female,Black,70 and over,Los Angeles County,2,0,1,0,0,3,9,0
1980,Female,Hispanic,Under 18,Los Angeles County,259,674,124,3,56,1116,1941,516
1980,Female,Hispanic,18 to 19,Los Angeles County,117,266,135,2,44,564,953,0
1980,Female,Hispanic,20 to 29,Los Angeles County,301,699,451,2,105,1558,3647,0
1980,Female,Hispanic,30 to 39,Los Angeles County,100,229,145,0,41,515,1649,0
1980,Female,Hispanic,40 to 69,Los Angeles County,45,97,67,0,18,227,1013,0
1980,Female,Hispanic,70 and over,Los Angeles County,0,1,0,0,0,1,25,0
1980,Female,Other,Under 18,Los Angeles County,14,63,5,0,0,82,204,46
1980,Female,Other,18 to 19,Los Angeles County,9,26,2,0,1,38,129,0
1980,Female,Other,20 to 29,Los Angeles County,42,79,16,1,10,148,597,0
1980,Female,Other,30 to 39,Los Angeles County,16,54,10,0,9,89,390,0
1980,Female,Other,40 to 69,Los Angeles County,11,25,1,0,3,40,252,0
1980,Female,Other,70 and over,Los Angeles County,0,0,0,0,0,0,3,0
1980,Female,White,Under 18,Los Angeles County,145,937,354,1,68,1505,3294,1265
1980,Female,White,18 to 19,Los Angeles County,111,311,317,1,57,797,2272,0
1980,Female,White,20 to 29,Los Angeles County,387,998,1144,6,254,2789,8508,0
1980,Female,White,30 to 39,Los Angeles County,176,368,355,7,125,1031,3729,0
1980,Female,White,40 to 69,Los Angeles County,109,209,126,7,94,545,3704,0
